23,000938,紫光股份?点评,电子设备,68.06,1.78%,140,47,0,0,-751,-0.05,-0.04,-9.8,11.96,-5.1,0,0,-4.9,-0.2,3.4,1.7,105,0.92,8.5,13.4,41.4,41.6,23.2,19.8,26.9,25.2,1.05,1.22
24,300124,汇川技术?点评,电气机械,33.91,1.77%,416,58,0,0,29,0,0.02,3.06,-2.69,0.2,0,0,-0.5,0.7,2.2,-2.4,81,1.07,4.3,4.8,36.5,35.8,26.9,24.7,32.3,34.7,0.35,1.24
25,002624,完美世界?点评,互联网,30.81,1.75%,144,28,0,0,-70,0,-0.03,-5.23,-5.45,-1.5,0,0,0,-1.5,0,1.5,59,0.88,0,0,28.8,30.3,21.6,21.6,49.6,48.1,0.33,1.2
26,002230,科大讯飞?点评,软件服务,62.53,1.67%,749,391,0,0,-469,-0.01,-0.01,-0.78,6.49,-0.4,0,0,0.8,-1.2,0,0.4,103,0.99,8.1,7.3,43.2,44.4,21.9,21.9,26.8,26.4,1.57,1.38
27,002024,苏宁易购?点评,零售业,13.52,1.65%,683,145,0,0,-445,-0.01,0,-3.22,5.59,-1.6,0,0,2.4,-4,1,0.6,111,0.97,10.7,8.3,44,48,20.9,19.9,24.4,23.8,0.41,1.1
28,600482,中国动力?点评,运输设备,24.47,1.54%,222,39,0,0,-107,0,0.02,8.15,1.92,-1.7,0,0,3.1,-4.8,6.5,-4.8,112,1.19,17.6,14.5,37.8,42.6,26.4,19.9,18.2,23,0.28,1.5
29,000768,中航飞机?点评,运输设备,15.14,1.47%,419,247,0,0,-68,0,-0.01,-4.4,11.52,-0.8,0,0,2.7,-3.5,-0.4,1.2,76,0.91,2.7,0,34.9,38.4,21.9,22.3,40.5,39.3,0.2,1.15
30,002008,大族激光?点评,专用设备,57.72,1.44%,573,31,0,0,98,0,0,-0.06,-3.87,0.4,0,0,0.7,-0.3,-0.4,0,114,1,6.1,5.4,51.3,51.6,20.4,20.8,22.2,22.2,0.43,1.02
31,002065,东华软件?点评,软件服务,8.46,1.44%,236,22,0,0,364,0.02,0,3.77,15,3.7,0,0,-0.8,4.5,-2.1,-1.6,84,0.99,2.7,3.5,41.2,36.7,24.5,26.6,31.6,33.2,0.42,0.99
32,300027,华谊兄弟?点评,文体传媒,9.89,1.44%,190,34,0,0,-27,0,-0.04,-5.72,9.41,-0.2,0,0,1.2,-1.4,-1.7,1.9,101,0.9,7.5,6.3,42.9,44.3,21.1,22.8,28.5,26.6,0.71,0.97
