股票代码,行业代码
2147,801180
2148,801760
2149,801050
2150,801890
2151,801740
2152,801750
2153,801750
2154,801130
2155,801050
2156,801080
2157,801010
2158,801890
2159,801210
2160,801050
2161,801080
2162,801710
2163,801710
2164,801890
2165,801030
2166,801150
2167,801050
2168,801730
2169,801730
2170,801030
2171,801050
2172,801030
2173,801150
2174,801760
2175,801760
2176,801730
2177,801750
2178,801720
2179,801080
2180,801080
2181,801760
2182,801050
2183,801170
2184,801730
2185,801080
2186,801210
2187,801200
2188,801760
2189,801080
2190,801740
2191,801140
2192,801890
2193,801130
2194,801770
2195,801750
2196,801730
2197,801750
2198,801150
2199,801080
2200,801720
2201,801030
2202,801730
2203,801050
2204,801890
2205,801710
2206,801030
2207,801020
2208,801180
2209,801890
2210,801170
2211,801030
2212,801730
2213,801880
2214,801080
2215,801030
2216,801120
2217,801080
2218,801730
2219,801150
2220,801010
2221,801030
2222,801080
2223,801150
2224,801030
2225,801710
2226,801030
2227,801730
2228,801140
2229,801140
2230,801750
2231,801770
2232,801750
2233,801710
2234,801010
2235,801140
2236,801080
2237,801050
2238,801760
2239,801880
2240,801140
2241,801080
2242,801110
2243,801140
2244,801180
2245,801170
2246,801030
2247,801760
2248,801890
2249,801730
2250,801030
2251,801200
2252,801150
2253,801750
2254,801030
2255,801730
2256,801030
2257,801080
2258,801030
2259,801160
2260,801110
2261,801760
2262,801150
2263,801030
2264,801200
2265,801880
2266,801730
2267,801160
2268,801750
2269,801130
2270,801730
2271,801710
2272,801890
2273,801080
2274,801030
2275,801150
2276,801730
2277,801200
2278,801890
2279,801750
2280,801750
2281,801770
2282,801890
2283,801880
2284,801880
2285,801180
2286,801010
2287,801150
2288,801080
2289,801080
2290,801110
2291,801130
2292,801760
2293,801130
2294,801150
2295,801050
2296,801750
2297,801740
2298,801730
2299,801010
2300,801730
2301,801140
2302,801710
2303,801140
2304,801120
2305,801180
2306,801210
2307,801720
2308,801750
2309,801730
2310,801720
2311,801010
2312,801750
2313,801770
2314,801180
2315,801760
2316,801770
2317,801150
2318,801040
2319,801030
2320,801170
2321,801010
2322,801730
2323,801710
2324,801030
2325,801720
2326,801030
2327,801130
2328,801880
2329,801120
2330,801120
2331,801750
2332,801150
2333,801710
2334,801730
2335,801730
2336,801200
2337,801890
2338,801890
2339,801730
2340,801050
2341,801160
2342,801890
2343,801760
2344,801200
2345,801140
2346,801710
2347,801890
2348,801140
2349,801150
2350,801730
2351,801080
2352,801170
2353,801890
2354,801760
2355,801880
2356,801140
2357,801170
2358,801730
2359,801770
2360,801030
2361,801030
2362,801750
2363,801880
2364,801730
2365,801150
2366,801890
2367,801890
2368,801750
2369,801080
2370,801150
2371,801080
2372,801710
2373,801750
2374,801720
2375,801720
2376,801750
2377,801210
2378,801050
2379,801050
2380,801750
2381,801030
2382,801030
2383,801750
2384,801080
2385,801010
2386,801030
2387,801750
2388,801080
2389,801080
2390,801150
2391,801030
2392,801710
2393,801150
2394,801130
2395,801030
2396,801770
2397,801130
2398,801710
2399,801150
2400,801760
2401,801750
2402,801080
2403,801110
2404,801130
2405,801750
2406,801880
2407,801030
2408,801030
2409,801030
2410,801750
2411,801150
2412,801150
2413,801740
2414,801080
2415,801080
2416,801200
2417,801770
2418,801110
2419,801200
2420,801110
2421,801750
2422,801150
2423,801890
2424,801150
2425,801760
2426,801890
2427,801030
2428,801050
2429,801110
2430,801890
2431,801720
2432,801150
2433,801150
2434,801880
2435,801150
2436,801080
2437,801150
2438,801890
2439,801750
2440,801030
2441,801730
2442,801030
2443,801040
2444,801890
2445,801760
2446,801770
2447,801760
2448,801880
2449,801080
2450,801030
2451,801730
2452,801730
2453,801030
2454,801880
2455,801030
2456,801080
2457,801710
2458,801010
2459,801890
2460,801050
2461,801120
2462,801150
2463,801080
2464,801760
2465,801770
2466,801050
2467,801770
2468,801170
2469,801720
2470,801030
2471,801730
2472,801880
2473,801110
2474,801750
2475,801080
2476,801030
2477,801010
2478,801040
2479,801160
2480,801890
2481,801120
2482,801720
2483,801890
2484,801080
2485,801130
2486,801130
2487,801890
2488,801880
2489,801140
2490,801890
2491,801770
2492,801170
2493,801030
2494,801130
2495,801120
2496,801030
2497,801030
2498,801730
2499,801890
2500,801790
2501,801050
2502,801760
2503,801130
2504,801720
2505,801010
2506,801730
2507,801120
2508,801110
2509,801890
2510,801880
2511,801140
2512,801750
2513,801030
2514,801890
2515,801120
2516,801130
2517,801760
2518,801730
2519,801110
2520,801890
2521,801140
2522,801140
2523,801890
2524,801160
2525,801120
2526,801890
2527,801730
2528,801750
2529,801890
2530,801750
2531,801730
2532,801890
2533,801730
2534,801730
2535,801890
2536,801880
2537,801890
2538,801030
2539,801030
2540,801050
2541,801720
2542,801720
2543,801110
2544,801770
2545,801720
2546,801730
2547,801080
2548,801010
2549,801030
2550,801150
2551,801150
2552,801890
2553,801880
2554,801020
2555,801760
2556,801030
2557,801120
2558,801760
2559,801890
2560,801730
2561,801200
2562,801030
2563,801130
2564,801890
2565,801140
2566,801150
2567,801010
2568,801120
2569,801130
2570,801120
2571,801140
2572,801140
2573,801160
2574,801140
2575,801140
2576,801730
2577,801750
2578,801050
2579,801080
2580,801730
2581,801150
2582,801120
2583,801770
2584,801030
2585,801140
2586,801720
2587,801080
2588,801030
2589,801150
2590,801880
2591,801760
2592,801880
2593,801880
2594,801880
